Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position,GeneScanLabel
second_71_oxBS,D02,1,second_oxBS,oxBS,202139520259,R04C01,103409-001-oxBS-006R
second_72_oxBS,F02,1,second_oxBS,oxBS,202139520259,R06C01,103409-001-oxBS-007R
second_73_oxBS,H02,1,second_oxBS,oxBS,202139520259,R08C01,103409-001-oxBS-008R
second_74_oxBS,B03,1,second_oxBS,oxBS,202123800167,R02C01,103409-001-oxBS-009R
second_76_oxBS,D03,1,second_oxBS,oxBS,202123800167,R04C01,103409-001-oxBS-010R
first_65_oxBS,F03,1,first_oxBS,oxBS,202123800167,R06C01,103409-001-oxBS-011R
first_64_oxBS,B04,1,first_oxBS,oxBS,202123800269,R02C01,103409-001-oxBS-013R
first_63_oxBS,D04,1,first_oxBS,oxBS,202123800269,R04C01,103409-001-oxBS-014R
second_75_oxBS,F04,1,second_oxBS,oxBS,202123800269,R06C01,103409-001-oxBS-015R
first_66_oxBS,H04,1,first_oxBS,oxBS,202123800269,R08C01,103409-001-oxBS-016R
first_67_oxBS,B05,1,first_oxBS,oxBS,202128330113,R02C01,103409-001-oxBS-017R
first_69_oxBS,D05,1,first_oxBS,oxBS,202128330113,R04C01,103409-001-oxBS-018R
first_70_oxBS,F05,1,first_oxBS,oxBS,202128330113,R06C01,103409-001-oxBS-019R
